,number,value,datetime_start,datetime_complete,duration,params_d_conv_layers,params_d_num_filters_l0,params_d_num_filters_l1,params_d_num_filters_l2,params_epochs,params_g_convT_layers,params_g_num_filters_l0,params_g_num_filters_l1,params_g_num_filters_l2,params_g_num_filters_l3,state
0,0,2627.0751953125,2024-08-02 00:42:28.918292,2024-08-02 02:15:48.001783,0 days 01:33:19.083491,1.0,83.0,,,45.0,3.0,82.0,81.0,106.0,,COMPLETE
1,1,2680.504150390625,2024-08-02 02:15:48.041767,2024-08-02 04:04:21.301496,0 days 01:48:33.259729,2.0,120.0,109.0,,33.0,3.0,85.0,96.0,121.0,,COMPLETE
2,2,,2024-08-02 04:04:21.346281,,,2.0,64.0,126.0,,41.0,2.0,77.0,127.0,,,RUNNING
3,3,46.64268112182617,2024-08-02 06:06:22.580239,2024-08-02 06:20:35.482931,0 days 00:14:12.902692,3.0,89.0,62.0,48.0,10.0,2.0,84.0,98.0,,,COMPLETE
4,4,30.027036666870117,2024-08-02 06:20:35.514857,2024-08-02 06:40:29.426476,0 days 00:19:53.911619,2.0,45.0,40.0,,12.0,3.0,126.0,107.0,96.0,,COMPLETE
5,5,2281.303955078125,2024-08-02 06:40:29.460896,2024-08-02 07:36:03.829775,0 days 00:55:34.368879,3.0,66.0,59.0,88.0,32.0,2.0,102.0,108.0,,,COMPLETE
6,6,2993.2666015625,2024-08-02 07:36:03.871591,2024-08-02 08:58:32.886185,0 days 01:22:29.014594,1.0,77.0,,,40.0,3.0,117.0,88.0,81.0,,COMPLETE
7,7,2331.549560546875,2024-08-02 08:58:32.965305,2024-08-02 10:36:01.370413,0 days 01:37:28.405108,1.0,78.0,,,34.0,3.0,86.0,120.0,92.0,,COMPLETE
8,8,,2024-08-02 10:36:01.623030,2024-08-02 10:36:22.929588,0 days 00:00:21.306558,,,,,,,,,,,FAIL
9,9,,2024-08-02 10:37:10.453870,,,3.0,48.0,119.0,45.0,33.0,2.0,82.0,107.0,,,RUNNING
10,10,75.3529281616211,2024-08-02 12:24:34.475327,2024-08-02 13:35:51.539506,0 days 01:11:17.064179,2.0,127.0,94.0,,47.0,2.0,83.0,74.0,,,COMPLETE
11,11,1123.3182373046875,2024-08-02 13:35:51.592303,2024-08-02 14:05:42.966440,0 days 00:29:51.374137,2.0,42.0,69.0,,13.0,4.0,77.0,114.0,102.0,128.0,COMPLETE
12,12,2459.017578125,2024-08-02 14:05:43.000427,2024-08-02 15:47:59.827258,0 days 01:42:16.826831,1.0,60.0,,,42.0,4.0,110.0,104.0,101.0,102.0,COMPLETE
13,13,22.896785736083984,2024-08-02 15:47:59.893168,2024-08-02 16:54:01.877642,0 days 01:06:01.984474,3.0,34.0,33.0,124.0,20.0,4.0,124.0,64.0,66.0,65.0,COMPLETE
14,14,32.27528381347656,2024-08-02 16:54:01.955104,2024-08-02 18:02:51.505425,0 days 01:08:49.550321,3.0,34.0,32.0,127.0,20.0,4.0,127.0,65.0,66.0,65.0,COMPLETE
15,15,59.4867057800293,2024-08-02 18:02:51.592944,2024-08-02 19:25:34.028540,0 days 01:22:42.435596,3.0,49.0,33.0,127.0,21.0,4.0,64.0,128.0,65.0,66.0,COMPLETE
16,16,,2024-08-02 19:25:34.135788,2024-08-02 19:25:56.189463,0 days 00:00:22.053675,,,,,,,,,,,FAIL
17,17,51.448272705078125,2024-08-02 20:40:39.195185,2024-08-02 21:15:28.286737,0 days 00:34:49.091552,2.0,52.0,44.0,,20.0,3.0,127.0,89.0,82.0,,COMPLETE
18,18,908.951416015625,2024-08-02 21:15:28.330888,2024-08-02 21:47:37.363432,0 days 00:32:09.032544,2.0,33.0,50.0,,16.0,4.0,116.0,74.0,127.0,88.0,COMPLETE
19,19,90.89014434814453,2024-08-02 21:47:37.418046,2024-08-02 22:39:53.183437,0 days 00:52:15.765391,3.0,100.0,128.0,89.0,26.0,3.0,101.0,64.0,79.0,,COMPLETE
20,20,2661.017822265625,2024-08-02 22:39:53.234497,2024-08-02 23:44:15.573952,0 days 01:04:22.339455,2.0,64.0,84.0,,26.0,4.0,119.0,112.0,115.0,89.0,COMPLETE
21,21,61.569671630859375,2024-08-02 23:44:15.637156,2024-08-03 00:28:14.191508,0 days 00:43:58.554352,3.0,45.0,46.0,32.0,15.0,2.0,112.0,99.0,,,COMPLETE
22,22,2219.45166015625,2024-08-03 00:28:14.261576,2024-08-03 01:52:57.329659,0 days 01:24:43.068083,2.0,58.0,33.0,,26.0,3.0,122.0,86.0,91.0,,COMPLETE
23,23,1687.696533203125,2024-08-03 01:52:57.423504,2024-08-03 02:33:58.825701,0 days 00:41:01.402197,3.0,40.0,76.0,105.0,11.0,3.0,105.0,118.0,73.0,,COMPLETE
24,24,2043.2989501953125,2024-08-03 02:33:58.891491,2024-08-03 03:52:23.324641,0 days 01:18:24.433150,2.0,96.0,55.0,,18.0,4.0,97.0,126.0,111.0,109.0,COMPLETE
25,25,,2024-08-03 03:52:23.416829,2024-08-03 03:52:43.152496,0 days 00:00:19.735667,,,,,,,,,,,FAIL
26,26,,2024-08-03 03:53:29.170562,2024-08-03 04:09:38.233754,0 days 00:16:09.063192,3.0,32.0,33.0,126.0,23.0,4.0,127.0,66.0,71.0,64.0,FAIL
27,27,2831.4140625,2024-08-03 04:09:43.204534,2024-08-03 04:48:23.601804,0 days 00:38:40.397270,3.0,32.0,34.0,127.0,22.0,4.0,126.0,65.0,64.0,64.0,COMPLETE
