,number,value,datetime_start,datetime_complete,duration,params_d_conv_layers,params_d_num_filters_l0,params_d_num_filters_l1,params_d_num_filters_l2,params_g_convT_layers,params_g_num_filters_l0,params_g_num_filters_l1,params_g_num_filters_l2,params_g_num_filters_l3,state
0,0,,2024-08-01 23:12:05.981441,2024-08-01 23:16:05.442457,0 days 00:03:59.461016,3,39,32.0,66.0,4,95,127,79.0,101.0,FAIL
1,1,,2024-08-01 23:16:05.463948,2024-08-01 23:19:42.710607,0 days 00:03:37.246659,3,40,32.0,111.0,3,94,106,95.0,,FAIL
2,2,,2024-08-01 23:19:42.728327,2024-08-01 23:23:12.082561,0 days 00:03:29.354234,3,67,45.0,122.0,3,78,109,65.0,,FAIL
3,3,,2024-08-01 23:23:12.101584,2024-08-01 23:26:47.562171,0 days 00:03:35.460587,1,127,,,2,119,102,,,FAIL
4,4,,2024-08-01 23:26:47.592694,2024-08-01 23:30:40.797036,0 days 00:03:53.204342,2,80,37.0,,3,85,82,103.0,,FAIL
5,5,,2024-08-01 23:30:40.817565,2024-08-01 23:34:45.019402,0 days 00:04:04.201837,3,37,83.0,66.0,3,97,93,103.0,,FAIL
6,6,,2024-08-01 23:34:45.040817,2024-08-01 23:39:08.658454,0 days 00:04:23.617637,2,32,123.0,,4,101,75,94.0,99.0,FAIL
7,7,,2024-08-01 23:39:08.681776,2024-08-01 23:42:57.378930,0 days 00:03:48.697154,1,37,,,3,110,124,93.0,,FAIL
8,8,,2024-08-01 23:42:57.400440,2024-08-01 23:47:02.691038,0 days 00:04:05.290598,2,80,108.0,,2,127,105,,,FAIL
9,9,,2024-08-01 23:47:02.712102,2024-08-01 23:50:45.639376,0 days 00:03:42.927274,1,55,,,3,82,76,97.0,,FAIL
